"Fecha","WTI","JPM_Dollar_Index","VIX_Index","OPEP_TOTPROD","OPEP_TOTDEM","TBILL_10YR","TBILL_1YR"
"may-02",3.29063819109509,4.43679887052086,3.23474917402449,3.21084365317094,4.32280727501391,1.64093657949347,0.854415328156068
"jun-02",3.29657733253205,4.40983633531315,3.46667296362107,3.22763733053677,4.33204826486764,1.5953389880546,0.78845736036427
"jul-02",3.36660593689254,4.41762299934232,3.48553853009591,3.22525543183224,4.33990170837321,1.53686721959926,0.672944473242426
"ago-02",3.41608599415591,4.38297618370947,3.68109926679497,3.2561716096119,4.34898678059568,1.44926916028128,0.56531380905006
"sep-02",3.30395199722332,4.39938755794532,3.43849316640585,3.29435428604411,4.36182392735636,1.35325450704169,0.542324290825362
"oct-02",3.29175447028077,4.41878036501818,3.31418600467253,3.28428896341643,4.38825718442452,1.37118072330984,0.500775287912489
"nov-02",3.44041809481544,4.42593585879299,3.3541057741283,3.21326008608257,4.38825718442452,1.39871688111845,0.398776119957368
"dic-02",3.51184390174922,4.41671787446381,3.43945609377925,3.24493335918749,4.36691299686383,1.39376637595859,0.371563556432483
"ene-03",3.60004824040732,4.42131946061159,3.38878736158547,3.30725293548561,4.39321382406445,1.39871688111845,0.307484699747961
"feb-03",3.43527669531502,4.42844494059106,3.3724549127965,3.31491301306514,4.35156742718917,1.3609765531356,0.262364264467491
"mar-03",3.25037449192757,4.47275816663149,3.05447276857659,3.2846635654062,4.33859707674655,1.33762918913861,0.215111379616945
"abr-03",3.38642209608,4.47391049680458,2.96887481938411,3.28970700562879,4.33467293829041,1.37624402526639,0.2390169004705
"may-03",3.40751074371875,4.47832496246277,2.97143958098495,3.27108869631514,4.35414143118435,1.27256559579155,0.165514438477573
"jun-03",3.41903729979049,4.47393330182168,2.96990151351947,3.28278915061185,4.36309862478836,1.20297230399235,0.00995033085316809
"jul-03",3.4522073025699,4.4720387133849,2.9247731846135,3.29805662274264,4.36437169943516,1.38128181929635,0.113328685307003
"ago-03",3.37416870927424,4.49145262507877,3.12324559385295,3.30871652886799,4.39444915467244,1.49290409617815,0.27002713721306
"sep-03",3.37108175775753,4.49629238080222,2.77881927199042,3.32647383546622,4.40549899085902,1.45161382724053,0.215111379616945
"oct-03",3.41477150168927,4.4985422007633,2.79239134953596,3.33861250647053,4.38202663467388,1.45628673293993,0.22314355131421
"nov-03",3.48185528467961,4.51693988459368,2.90744735868642,3.33932197794407,4.43081679884331,1.45861502269952,0.29266961396282
"dic-03",3.4980215662977,4.5173220954149,2.81120829320484,3.33505757915761,4.41279829334063,1.45161382724053,0.27002713721306
"ene-04",3.58795353552398,4.5254882465632,2.6775909936175,3.3332753651767,4.42723897749543,1.42310833424261,0.215111379616945
"feb-04",3.57682995030531,4.53265325514891,2.81780106506133,3.34814816057234,4.41763506214125,1.40609698841607,0.215111379616945
"mar-04",3.62113580202742,4.50676321607521,2.84432781939476,3.33932197794407,4.40549899085902,1.34286480319255,0.173953307123438
"abr-04",3.68587494509364,4.49892038614538,2.7408400239252,3.35200713747138,4.37952350445576,1.47017584510059,0.357674444271816
"may-04",3.6122683517421,4.4969723155101,2.66305283517147,3.37724616083964,4.41279829334063,1.55180879959746,0.576613364303994
"jun-04",3.7796338173824,4.50065375843209,2.72915916431245,3.38642209608,4.41158543691543,1.55392520250384,0.751416088683921
"jul-04",3.74052268726577,4.50020959035159,2.72719901994097,3.39852715310628,4.40671924726425,1.50407739677627,0.741937344729377
"ago-04",3.90479696033641,4.51376736251475,2.59076704048748,3.41641434746702,4.40671924726425,1.45395300959371,0.703097511413113
"sep-04",3.94661765019264,4.52228845209069,2.78932292123095,3.41903729979049,4.40915530206213,1.41827740697294,0.751416088683921
"oct-04",3.89446984618056,4.5530660366307,2.58324255050886,3.40119738166216,4.42843300748804,1.41098697371026,0.802001585472027
"nov-04",3.7716108517114,4.57532934397707,2.58701187272515,3.39484390768998,4.44382703557933,1.43270073393405,0.916290731874155
"dic-04",3.87535902105655,4.56293052038022,2.55100645149252,3.37973537836282,4.41400968052693,1.44220199305819,0.982078472412158
